Districts,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Bokaro,180,0,280,275,320,660,70
Chatra,35,354,70,200,132,665,210
Deoghar,60,174,30,155,145,480,250
Dhanbad,280,124,110,355,405,380,570
Dumka,155,140,350,185,270,670,100
East_Singhbhum,355,132,170,370,211,240,110
Garhwa,270,312,6,330,210,70,115
Giridih,0,0,360,525,155,495,470
Godda,70,2,438,170,90,245,280
Gumla,90,22,265,50,138,620,230
Hazaribagh,195,182,75,0,0,1370,320
Jamtara,105,196,20,120,150,280,80
Khunti,215,10,156,75,85,250,30
Koderma,80,106,205,125,145,65,50
Latehar,95,178,244,50,150,80,0
Lohardaga,10,90,75,80,95,165,90
Pakur,90,146,225,100,90,60,0
Palamu,140,8,417,320,301,480,195
Ramgarh,190,202,0,110,100,340,80
Ranchi,1395,342,445,600,880,2720,880
Sahibganj,200,10,185,265,225,160,120
"Saraikela
Kharsawan",20,0,360,155,226,140,0
Simdega,185,0,266,0,175,525,250
West_Singhbhum,120,336,97,285,220,645,380
