Districts,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Bokaro,5,0,9,17,21,39,7
Chatra,3,22,2,20,17,33,11
Deoghar,1,11,1,11,12,14,6
Dhanbad,2,8,2,31,14,19,8
Dumka,8,14,20,14,10,18,1
East_Singhbhum,4,13,3,28,18,12,5
Garhwa,6,22,1,30,20,3,3
Giridih,0,0,14,32,17,31,21
Godda,2,1,17,17,9,13,9
Gumla,4,3,12,5,13,28,5
Hazaribagh,3,11,2,0,0,60,10
Jamtara,5,9,1,12,10,24,3
Khunti,4,1,11,6,7,6,3
Koderma,1,4,11,8,9,6,2
Latehar,4,12,16,2,9,8,0
Lohardaga,1,5,2,8,8,11,2
Pakur,3,11,8,7,8,2,0
Palamu,5,4,16,29,28,26,6
Ramgarh,3,8,0,8,10,23,6
Ranchi,15,22,7,39,30,103,24
Sahibganj,6,1,9,18,14,10,6
"Saraikela
Kharsawan",2,0,11,14,15,14,0
Simdega,4,0,15,0,12,30,10
West_Singhbhum,4,24,10,10,12,36,24
